Artist,Streams,Daily Streams,Genre,Release Year,Peak Position,Weeks on Chart,Lyrics Sentiment,TikTok Virality,Danceability,Acousticness,Energy,Cluster
EchoSync,689815326.0,796198.9999999999,Trap,2021.0,81.0,8.0,0.19999999999999996,17.0,0.11,0.59,0.6,0
The Midnight Howl,457954557.0,2426710.0,Electronic,2018.0,44.0,99.0,0.51,30.0,0.61,0.25,0.71,1
Retro Resonance,217316864.99999997,1639915.0,Reggae,1992.0,57.0,12.0,0.3599999999999999,11.0,0.43,0.58,0.2,0
Urban Rhapsody,312747634.0,3614532.0,Pop,2000.0,21.0,50.0,0.8900000000000001,44.0,0.18,0.04,0.63,0
Sofia Carter,726442597.0,1028518.0,Blues,2001.0,97.0,9.0,-0.62,71.0,0.82,0.59,0.61,1
ElectroPulse,581795174.0,3849348.0,Latin,2025.0,76.0,34.0,0.41999999999999993,15.0,0.53,0.17,0.33,0
Firefly Symphony,292322745.0,4873492.0,Synthwave,1991.0,70.0,12.0,-0.61,87.0,0.31,0.21,0.25,0
Urban Rhapsody,733665983.0,1185813.0,Techno,2014.0000000000002,9.0,1.0,0.8700000000000001,35.0,0.56,0.92,0.46,0
Samantha Lee,651134032.0,410722.00000000006,EDM,2007.0,76.0,87.0,-0.25,68.0,0.18,0.03,0.86,1
Neon Vortex,228493924.0,110812.00000000001,Pop,2025.0,16.0,88.0,-0.82,82.0,0.15,0.75,0.56,0
Liam Harper,95086731.0,2960964.0,Trap,2022.0,90.0,97.0,0.24,66.0,0.53,0.56,0.14,0
Neon Vortex,371734936.0,865902.0,Pop,1996.0,55.0,51.0,-0.45999999999999996,56.00000000000001,0.8,0.66,0.52,0
ElectroPulse,2238439.0,2917780.0000000005,Jazz,2018.0,55.0,85.0,-0.3400000000000001,16.0,0.17,0.37,0.88,1
Jay Zenith,230224645.00000003,107907.00000000001,Punk,2021.0,48.0,80.0,0.8599999999999999,25.0,0.16,0.37,0.65,0
The Midnight Howl,434852139.99999994,4936043.0,Rock,2002.0,86.0,41.0,0.1100000000000001,12.0,0.34,0.13,0.31,0
Shadow Beats,587150414.0,3680451.0,Electronic,2018.0,25.0,65.0,0.27,73.0,0.86,1.0,0.73,1
Firefly Symphony,578292350.0,295113.0,Rock,2013.0,51.00000000000001,52.0,0.1200000000000001,82.0,0.39,0.34,0.5,0
Neon Vortex,757434951.0,1637124.0,House,2001.0,35.0,18.0,-0.040000000000000036,77.0,0.9400000000000001,0.35,0.58,1
Samantha Lee,722081056.0,2944701.0,Folk,1992.0,85.0,32.0,-0.30000000000000004,10.0,0.43,0.77,0.58,1
Shadow Beats,792469605.0,190477.0,Hip-Hop,2021.0,57.0,58.0,-0.6,54.0,0.39,0.35,0.99,1
Bass Surge,306463103.0,3153745.9999999995,Trap,2024.0,72.0,78.0,0.21999999999999997,75.0,0.74,0.61,0.93,0
Samantha Lee,190201915.0,2111566.0,Rock,2020.0,51.00000000000001,41.0,0.74,38.0,0.24,0.7,0.52,0
ElectroPulse,577115131.0,2095468.0,Hip-Hop,2007.0,34.0,60.0,-0.79,47.0,0.48,0.99,0.89,1
